时间CST,气温C,露点C,湿度,海平面气压hPa,能见度Km,Wind Direction,风速Km/h,瞬间风速Km/h,降水量mm,活动,Conditions,FullMetar,WindDirDegrees,DateUTC
12:00 AM,-7.0,-10.0,80,1034,6.0,北,7.2,-,N/A,,不详,METAR ZBAA 171600Z 35002MPS 6000 NSC M07/M10 Q1034 NOSIG,350,2017-01-17 16:00:00
12:30 AM,-7.0,-10.0,80,1034,8.0,北,10.8,-,N/A,,不详,METAR ZBAA 171630Z 36003MPS 8000 NSC M07/M10 Q1034 NOSIG,360,2017-01-17 16:30:00
1:00 AM,-5.0,-12.0,59,1034,8.0,东北,7.2,-,N/A,,不详,METAR ZBAA 171700Z 04002MPS 010V080 8000 NSC M05/M12 Q1034 NOSIG,40,2017-01-17 17:00:00
1:30 AM,-4.0,-14.0,46,1034,-9999.0,北,7.2,-,N/A,,晴,METAR ZBAA 171730Z 36002MPS CAVOK M04/M14 Q1034 NOSIG,360,2017-01-17 17:30:00
2:00 AM,-5,-10,60,1035,2.8,东北偏东,3.6,,,,雾霭,AAXX 17181 54511 31/28 90701 11049 21095 30308 40350 52013 70500 333 10021,70,2017-01-17 18:00:00
2:00 AM,-5.0,-14.0,50,1035,-9999.0,不定,3.6,-,N/A,,晴,METAR ZBAA 171800Z VRB01MPS CAVOK M05/M14 Q1035 NOSIG,0,2017-01-17 18:00:00
2:30 AM,-7.0,-15.0,54,1035,-9999.0,北,10.8,-,N/A,,晴,METAR ZBAA 171830Z 01003MPS CAVOK M07/M15 Q1035 NOSIG,10,2017-01-17 18:30:00
3:00 AM,-8.0,-14.0,63,1035,-9999.0,北,10.8,-,N/A,,晴,METAR ZBAA 171900Z 36003MPS CAVOK M08/M14 Q1035 NOSIG,360,2017-01-17 19:00:00
3:30 AM,-5.0,-14.0,50,1035,-9999.0,北,7.2,-,N/A,,晴,METAR ZBAA 171930Z 01002MPS CAVOK M05/M14 Q1035 NOSIG,10,2017-01-17 19:30:00
4:00 AM,-7.0,-15.0,54,1035,-9999.0,北,7.2,-,N/A,,晴,METAR ZBAA 172000Z 01002MPS CAVOK M07/M15 Q1035 NOSIG,10,2017-01-17 20:00:00
4:30 AM,-7.0,-15.0,54,1034,-9999.0,东北偏北,7.2,-,N/A,,晴,METAR ZBAA 172030Z 02002MPS CAVOK M07/M15 Q1034 NOSIG,20,2017-01-17 20:30:00
5:00 AM,-4,-15,28,1034,16,东北,7.2,,,,,AAXX 17211 54511 32/66 90402 11043 21153 40345 57005,40,2017-01-17 21:00:00
5:00 AM,-7.0,-14.0,58,1034,-9999.0,北,10.8,-,N/A,,晴,METAR ZBAA 172100Z 01003MPS CAVOK M07/M14 Q1034 NOSIG,10,2017-01-17 21:00:00
5:30 AM,-5.0,-15.0,46,1034,-9999.0,东北偏北,14.4,-,N/A,,晴,METAR ZBAA 172130Z 03004MPS CAVOK M05/M15 Q1034 NOSIG,30,2017-01-17 21:30:00
6:00 AM,-5.0,-16.0,43,1034,-9999.0,东北偏北,18.0,-,N/A,,晴,METAR ZBAA 172200Z 03005MPS CAVOK M05/M16 Q1034 NOSIG,30,2017-01-17 22:00:00
6:30 AM,-5.0,-15.0,46,1034,-9999.0,东北偏北,18.0,-,N/A,,晴,METAR ZBAA 172230Z 03005MPS CAVOK M05/M15 Q1034 NOSIG,30,2017-01-17 22:30:00
7:00 AM,-5.0,-15.0,46,1034,-9999.0,东北偏北,21.6,-,N/A,,晴,METAR ZBAA 172300Z 03006MPS CAVOK M05/M15 Q1034 NOSIG,30,2017-01-17 23:00:00
7:30 AM,-5.0,-16.0,43,1034,-9999.0,东北偏北,18.0,-,N/A,,晴,METAR ZBAA 172330Z 03005MPS CAVOK M05/M16 Q1034 NOSIG,30,2017-01-17 23:30:00
8:00 AM,-5,-16,30,1035,17,东北,7.2,,,,有云,AAXX 18001 54511 32/67 20402 11054 21157 30308 40350 52005 82/// 333 00454,40,2017-01-18 00:00:00
8:00 AM,-5.0,-15.0,46,1035,-9999.0,东北偏北,14.4,-,N/A,,晴,METAR ZBAA 180000Z 03004MPS CAVOK M05/M15 Q1035 NOSIG,30,2017-01-18 00:00:00
8:30 AM,-4.0,-15.0,43,1035,-9999.0,东北偏北,18.0,-,N/A,,晴,METAR ZBAA 180030Z 02005MPS CAVOK M04/M15 Q1035 NOSIG,20,2017-01-18 00:30:00
9:00 AM,-4.0,-15.0,43,1035,-9999.0,东北偏北,18.0,-,N/A,,晴,METAR ZBAA 180100Z 02005MPS CAVOK M04/M15 Q1035 NOSIG,20,2017-01-18 01:00:00
9:30 AM,-3.0,-15.0,40,1035,-9999.0,东北偏北,18.0,-,N/A,,晴,METAR ZBAA 180130Z 02005MPS CAVOK M03/M15 Q1035 NOSIG,20,2017-01-18 01:30:00
10:00 AM,-2.0,-15.0,37,1035,-9999.0,东北,18.0,-,N/A,,晴,METAR ZBAA 180200Z 04005MPS CAVOK M02/M15 Q1035 NOSIG,40,2017-01-18 02:00:00
10:30 AM,-2.0,-16.0,34,1035,-9999.0,东北,18.0,-,N/A,,晴,METAR ZBAA 180230Z 04005MPS CAVOK M02/M16 Q1035 NOSIG,40,2017-01-18 02:30:00
11:00 AM,-1,-17,16,1035,23,东北偏北,10.8,,,,多云,AAXX 18031 54511 32973 70203 11012 21170 40353 52003 87///,20,2017-01-18 03:00:00
11:00 AM,-1.0,-16.0,32,1035,-9999.0,东北,18.0,-,N/A,,晴,METAR ZBAA 180300Z 04005MPS 010V080 CAVOK M01/M16 Q1035 NOSIG,40,2017-01-18 03:00:00
11:30 AM,-1.0,-16.0,32,1035,-9999.0,东北偏北,14.4,-,N/A,,晴,METAR ZBAA 180330Z 02004MPS 350V050 CAVOK M01/M16 Q1035 NOSIG,20,2017-01-18 03:30:00
12:00 PM,0.0,-18.0,25,1034,-9999.0,东北偏北,14.4,-,N/A,,晴,METAR ZBAA 180400Z 02004MPS 340V060 CAVOK M00/M18 Q1034 NOSIG,20,2017-01-18 04:00:00
12:30 PM,1.0,-18.0,23,1033,-9999.0,北,10.8,-,N/A,,晴,METAR ZBAA 180430Z 01003MPS 330V080 CAVOK 01/M18 Q1033 NOSIG,10,2017-01-18 04:30:00
1:00 PM,1.0,-18.0,23,1033,-9999.0,东北偏北,7.2,-,N/A,,晴,METAR ZBAA 180500Z 03002MPS 320V090 CAVOK 01/M18 Q1033 NOSIG,30,2017-01-18 05:00:00
1:30 PM,1.0,-18.0,23,1032,-9999.0,东北,7.2,-,N/A,,晴,METAR ZBAA 180530Z 05002MPS 020V080 CAVOK 01/M18 Q1032 NOSIG,50,2017-01-18 05:30:00
2:00 PM,1,-16,13,1032,19,东,7.2,,,,多云,AAXX 18061 54511 32969 70902 10014 21165 30281 40323 57030 87/// 333 21058,90,2017-01-18 06:00:00
2:00 PM,1.0,-18.0,23,1032,-9999.0,不定,3.6,-,N/A,,晴,METAR ZBAA 180600Z VRB01MPS CAVOK 01/M18 Q1032 NOSIG,0,2017-01-18 06:00:00
2:30 PM,1.0,-18.0,23,1032,-9999.0,不定,3.6,-,N/A,,晴,METAR ZBAA 180630Z VRB01MPS CAVOK 01/M18 Q1032 NOSIG,0,2017-01-18 06:30:00
3:00 PM,2.0,-18.0,22,1031,-9999.0,不定,3.6,-,N/A,,晴,METAR ZBAA 180700Z VRB01MPS CAVOK 02/M18 Q1031 NOSIG,0,2017-01-18 07:00:00
3:30 PM,1.0,-17.0,25,1031,-9999.0,不定,3.6,-,N/A,,晴,METAR ZBAA 180730Z VRB01MPS CAVOK 01/M17 Q1031 NOSIG,0,2017-01-18 07:30:00
4:00 PM,1.0,-16.0,28,1031,-9999.0,南,7.2,-,N/A,,晴,METAR ZBAA 180800Z 19002MPS 160V240 CAVOK 01/M16 Q1031 NOSIG,190,2017-01-18 08:00:00
4:30 PM,1.0,-16.0,28,1031,-9999.0,南,7.2,-,N/A,,晴,METAR ZBAA 180830Z 18002MPS 150V240 CAVOK 01/M16 Q1031 NOSIG,180,2017-01-18 08:30:00
5:00 PM,1,-15,18,1032,12,南,7.2,,,,多云,AAXX 18091 54511 32962 71802 10008 21148 40315 57008 87///,180,2017-01-18 09:00:00
5:00 PM,1.0,-16.0,28,1031,-9999.0,南,10.8,-,N/A,,晴,METAR ZBAA 180900Z 19003MPS 160V240 CAVOK 01/M16 Q1031 NOSIG,190,2017-01-18 09:00:00
5:30 PM,0.0,-16.0,30,1031,-9999.0,南,7.2,-,N/A,,晴,METAR ZBAA 180930Z 19002MPS 130V260 CAVOK 00/M16 Q1031 NOSIG,190,2017-01-18 09:30:00